/vdc/MINUS X,/vdc/MINUS Y,/vdc/PLUS X,/vdc/PLUS Y
0,1.541280767768545e-09,0,-1.541280767768545e-09
5.2e-10,1.542058439718118e-09,5.2e-10,-1.542058439718118e-09
1e-09,1.542061470788761e-09,1e-09,-1.542061470788761e-09
1.02e-09,1.542061497617422e-09,1.02e-09,-1.542061497617422e-09
1.06e-09,1.542061504288553e-09,1.06e-09,-1.542061504288553e-09
1.14e-09,1.542083103312019e-09,1.14e-09,-1.542083103312019e-09
1.299999999999999e-09,1.542051289311101e-09,1.299999999999999e-09,-1.542051289311101e-09
1.619999999999998e-09,1.542095080091197e-09,1.619999999999998e-09,-1.542095080091197e-09
1.81875e-09,1.542061695890018e-09,1.81875e-09,-1.542061695890018e-09
1.830078125e-09,-5.189077729729847e-06,1.830078125e-09,5.189077729729847e-06
1.844106972093702e-09,-5.401367856711212e-06,1.844106972093702e-09,5.401367856711212e-06
1.853240904495611e-09,-4.020950649006457e-06,1.853240904495611e-09,4.020950649006457e-06
1.859540982517385e-09,-2.261060647298353e-06,1.859540982517385e-09,2.261060647298353e-06
1.865639903778358e-09,2.381183329538661e-07,1.865639903778358e-09,-2.381183329538661e-07
1.872567973519095e-09,3.49276172990636e-06,1.872567973519095e-09,-3.49276172990636e-06
1.878884359776737e-09,7.176030986888352e-06,1.878884359776737e-09,-7.176030986888352e-06
1.885802945789721e-09,1.233745447975781e-05,1.885802945789721e-09,-1.233745447975781e-05
1.893678138651822e-09,3.080251358263662e-05,1.893678138651822e-09,-3.080251358263662e-05
1.895135157759822e-09,3.636277488423023e-05,1.895135157759822e-09,-3.636277488423023e-05
1.898049195975822e-09,4.520691057905791e-05,1.898049195975822e-09,-4.520691057905791e-05
1.90036024138349e-09,4.836492598323041e-05,1.90036024138349e-09,-4.836492598323041e-05
1.902924114829609e-09,4.869362699531259e-05,1.902924114829609e-09,-4.869362699531259e-05
1.905543696163152e-09,4.680243998068785e-05,1.905543696163152e-09,-4.680243998068785e-05
1.908108605287686e-09,4.385003048048186e-05,1.908108605287686e-09,-4.385003048048186e-05
1.910907817165608e-09,3.746888360196337e-05,1.910907817165608e-09,-3.746888360196337e-05
1.913686463024663e-09,2.501421520463307e-05,1.913686463024663e-09,-2.501421520463307e-05
1.916220811159904e-09,1.310617563966969e-05,1.916220811159904e-09,-1.310617563966969e-05
1.919575183354012e-09,3.798064357862577e-06,1.919575183354012e-09,-3.798064357862577e-06
1.922423727160219e-09,4.601071199625613e-07,1.922423727160219e-09,-4.601071199625613e-07
1.925284809387962e-09,-1.018020365406151e-06,1.925284809387962e-09,1.018020365406151e-06
1.928698832677161e-09,-1.748708922105229e-06,1.928698832677161e-09,1.748708922105229e-06
1.933811482211416e-09,-2.112750234184306e-06,1.933811482211416e-09,2.112750234184306e-06
1.941435721653014e-09,-2.172739865551521e-06,1.941435721653014e-09,2.172739865551521e-06
1.953332821156084e-09,-2.189601216356995e-06,1.953332821156084e-09,2.189601216356995e-06
1.974271202691018e-09,-2.167818074065889e-06,1.974271202691018e-09,2.167818074065889e-06
2e-09,-2.178604054508989e-06,2e-09,2.178604054508989e-06
2.02e-09,-2.002621165898901e-06,2.02e-09,2.002621165898901e-06
2.025975665665568e-09,4.289426793132486e-07,2.025975665665568e-09,-4.289426793132486e-07
2.034957513456162e-09,3.490728690769728e-08,2.034957513456162e-09,-3.490728690769728e-08
2.042794799922571e-09,-2.972553818527575e-08,2.042794799922571e-09,2.972553818527575e-08
2.05846937285539e-09,7.979302058966257e-08,2.05846937285539e-09,-7.979302058966257e-08
2.07896604963705e-09,-2.122707622383107e-08,2.07896604963705e-09,2.122707622383107e-08
2.118928683712075e-09,7.43715068564391e-08,2.118928683712075e-09,-7.43715068564391e-08
2.198853951862125e-09,-1.880642234992449e-08,2.198853951862125e-09,1.880642234992449e-08
2.350623161938352e-09,7.317655882328244e-08,2.350623161938352e-09,-7.317655882328244e-08
2.651109509101653e-09,-1.819640384820214e-08,2.651109509101653e-09,1.819640384820214e-08
3e-09,7.279832431141465e-08,3e-09,-7.279832431141465e-08
3.02e-09,2.812652517678913e-08,3.02e-09,-2.812652517678913e-08
3.06e-09,2.739822073784068e-08,3.06e-09,-2.739822073784068e-08
3.14e-09,2.737816252561632e-08,3.14e-09,-2.737816252561632e-08
3.299999999999999e-09,2.739818545515093e-08,3.299999999999999e-09,-2.739818545515093e-08
3.619999999999998e-09,2.737823654895212e-08,3.619999999999998e-09,-2.737823654895212e-08
3.818750000000001e-09,2.73881748623454e-08,3.818750000000001e-09,-2.73881748623454e-08
3.830078125000001e-09,-1.750258464675013e-06,3.830078125000001e-09,1.750258464675013e-06
3.848455283439969e-09,-1.967506743723612e-06,3.848455283439969e-09,1.967506743723612e-06
3.855698934311309e-09,-8.341449825264302e-07,3.855698934311309e-09,8.341449825264302e-07
3.865226371578022e-09,1.42826313565359e-06,3.865226371578022e-09,-1.42826313565359e-06
3.875797970528774e-09,5.006210169315194e-06,3.875797970528774e-09,-5.006210169315194e-06
3.884115903919139e-09,8.613534208959705e-06,3.884115903919139e-09,-8.613534208959705e-06
3.892979061418259e-09,2.03789594134511e-05,3.892979061418259e-09,-2.03789594134511e-05
3.896491655639076e-09,2.853842824222796e-05,3.896491655639076e-09,-2.853842824222796e-05
3.901094318873792e-09,3.416330270740512e-05,3.901094318873792e-09,-3.416330270740512e-05
3.904550788823007e-09,3.325889023317762e-05,3.904550788823007e-09,-3.325889023317762e-05
3.908343006896314e-09,3.068128125380426e-05,3.908343006896314e-09,-3.068128125380426e-05
3.911517972549367e-09,2.533154561661658e-05,3.911517972549367e-09,-2.533154561661658e-05
3.914897350506377e-09,1.482304668074857e-05,3.914897350506377e-09,-1.482304668074857e-05
3.918088950773674e-09,6.354028570428682e-06,3.918088950773674e-09,-6.354028570428682e-06
3.919684750907322e-09,4.237305645764251e-06,3.919684750907322e-09,-4.237305645764251e-06
3.922876351174619e-09,1.681978773890713e-06,3.922876351174619e-09,-1.681978773890713e-06
3.926198914545205e-09,7.058575222924151e-07,3.926198914545205e-09,-7.058575222924151e-07
3.931253897904412e-09,1.657043842480794e-07,3.931253897904412e-09,-1.657043842480794e-07
3.937775433777637e-09,1.204161187216697e-07,3.937775433777637e-09,-1.204161187216697e-07
3.948306352664824e-09,1.272099758700476e-07,3.948306352664824e-09,-1.272099758700476e-07
3.964262305099439e-09,4.739710802581615e-07,3.964262305099439e-09,-4.739710802581615e-07
3.98213115254972e-09,4.035760531653735e-06,3.98213115254972e-09,-4.035760531653735e-06
3.992666127654756e-09,9.585233392903942e-06,3.992666127654756e-09,-9.585233392903942e-06
4e-09,1.49082688325984e-05,4e-09,-1.49082688325984e-05
4.002348471712735e-09,1.680722635267252e-05,4.002348471712735e-09,-1.680722635267252e-05
4.007045415138205e-09,2.109393849017011e-05,4.007045415138205e-09,-2.109393849017011e-05
4.013768957983465e-09,3.008225768547503e-05,4.013768957983465e-09,-3.008225768547503e-05
4.016884478991733e-09,3.607521607878715e-05,4.016884478991733e-09,-3.607521607878715e-05
4.020000000000001e-09,4.057387987791367e-05,4.020000000000001e-09,-4.057387987791367e-05
4.021227039119393e-09,4.127228715283732e-05,4.021227039119393e-09,-4.127228715283732e-05
4.023681117358179e-09,4.204926577244033e-05,4.023681117358179e-09,-4.204926577244033e-05
4.026155363992846e-09,4.151276777853505e-05,4.026155363992846e-09,-4.151276777853505e-05
4.029879459366604e-09,3.823349515034717e-05,4.029879459366604e-09,-3.823349515034717e-05
4.032744473830698e-09,2.987229748684559e-05,4.032744473830698e-09,-2.987229748684559e-05
4.035109048953184e-09,2.074702716868276e-05,4.035109048953184e-09,-2.074702716868276e-05
4.037481937916807e-09,1.429752776272212e-05,4.037481937916807e-09,-1.429752776272212e-05
4.0402171224185e-09,9.388110937380627e-06,4.0402171224185e-09,-9.388110937380627e-06
4.042618625872613e-09,6.408295659095199e-06,4.042618625872613e-09,-6.408295659095199e-06
4.046110631294012e-09,3.569817393021139e-06,4.046110631294012e-09,-3.569817393021139e-06
4.051772351890597e-09,1.289435611356163e-06,4.051772351890597e-09,-1.289435611356163e-06
4.058754936054935e-09,3.322880335246269e-07,4.058754936054935e-09,-3.322880335246269e-07
4.067163382743441e-09,8.455418474716761e-08,4.067163382743441e-09,-8.455418474716761e-08
4.07847735573873e-09,1.981880484394045e-08,4.07847735573873e-09,-1.981880484394045e-08
4.095170499948879e-09,3.604073819109204e-08,4.095170499948879e-09,-3.604073819109204e-08
4.126563823525151e-09,1.796045620572053e-08,4.126563823525151e-09,-1.796045620572053e-08
4.186798568041861e-09,3.701311486066052e-08,4.186798568041861e-09,-3.701311486066052e-08
4.307268057075282e-09,1.775225474560825e-08,4.307268057075282e-09,-1.775225474560825e-08
4.548207035142124e-09,3.703141396582392e-08,4.548207035142124e-09,-3.703141396582392e-08
5e-09,1.774511350562051e-08,5e-09,-1.774511350562051e-08
5.02e-09,2.73943997500948e-08,5.02e-09,-2.73943997500948e-08
5.060000000000001e-09,2.739232802059146e-08,5.060000000000001e-09,-2.739232802059146e-08
5.140000000000003e-09,2.73871469824907e-08,5.140000000000003e-09,-2.73871469824907e-08
5.300000000000005e-09,2.739126464638348e-08,5.300000000000005e-09,-2.739126464638348e-08
5.620000000000011e-09,2.738759050654598e-08,5.620000000000011e-09,-2.738759050654598e-08
5.81875e-09,2.73893229526604e-08,5.81875e-09,-2.73893229526604e-08
5.830078125e-09,-8.683645778929731e-07,5.830078125e-09,8.683645778929731e-07
5.848455282241881e-09,-9.656771265880977e-07,5.848455282241881e-09,9.656771265880977e-07
5.8556989354878e-09,-4.194539871644994e-07,5.8556989354878e-09,4.194539871644994e-07
5.865228694736323e-09,7.264458566664377e-07,5.865228694736323e-09,-7.264458566664377e-07
5.875801721869591e-09,2.509226221425245e-06,5.875801721869591e-09,-2.509226221425245e-06
5.884120821083444e-09,4.322041732700466e-06,5.884120821083444e-09,-4.322041732700466e-06
5.892985262229261e-09,1.014609796154248e-05,5.892985262229261e-09,-1.014609796154248e-05
5.896500746977186e-09,1.418938561723215e-05,5.896500746977186e-09,-1.418938561723215e-05
5.901103779144761e-09,1.708664987487153e-05,5.901103779144761e-09,-1.708664987487153e-05
5.904562081642045e-09,1.665842550435133e-05,5.904562081642045e-09,-1.665842550435133e-05
5.908354759515539e-09,1.538394838311969e-05,5.908354759515539e-09,-1.538394838311969e-05
5.911530031687135e-09,1.274875206773924e-05,5.911530031687135e-09,-1.274875206773924e-05
5.914906602361972e-09,7.540890692074005e-06,5.914906602361972e-09,-7.540890692074005e-06
5.918098408868706e-09,3.235741625894571e-06,5.918098408868706e-09,-3.235741625894571e-06
5.919694312122073e-09,2.15936614043291e-06,5.919694312122073e-09,-2.15936614043291e-06
5.922886118628806e-09,8.687058033160658e-07,5.922886118628806e-09,-8.687058033160658e-07
5.926211008100594e-09,3.649153661548677e-07,5.926211008100594e-09,-3.649153661548677e-07
5.931273278407478e-09,9.929594783162269e-08,5.931273278407478e-09,-9.929594783162269e-08
5.937807997890177e-09,6.749348829424697e-08,5.937807997890177e-09,-6.749348829424697e-08
5.948369912078439e-09,7.947335030876324e-08,5.948369912078439e-09,-7.947335030876324e-08
5.964372409519315e-09,2.439779577725046e-07,5.964372409519315e-09,-2.439779577725046e-07
5.982186204759658e-09,1.996045269470158e-06,5.982186204759658e-09,-1.996045269470158e-06
5.992729903921405e-09,4.717933792562278e-06,5.992729903921405e-09,-4.717933792562278e-06
6.000000000000001e-09,7.340311657278407e-06,6.000000000000001e-09,-7.340311657278407e-06
6.002349792151625e-09,8.277941002486134e-06,6.002349792151625e-09,-8.277941002486134e-06
6.007049376454873e-09,1.038702643002914e-05,6.007049376454873e-09,-1.038702643002914e-05
6.013756228731406e-09,1.477589137803819e-05,6.013756228731406e-09,-1.477589137803819e-05
6.016878114365703e-09,1.771896563212053e-05,6.016878114365703e-09,-1.771896563212053e-05
