/V0/MINUS X,/V0/MINUS Y
0,1.130195409989442e-07
1.3e-10,1.130195411203998e-07
3.9e-10,1.130195411206506e-07
6.95e-10,1.130195411206539e-07
1e-09,1.130195411206487e-07
1.02e-09,1.130195411206802e-07
1.06e-09,1.130195411206633e-07
1.14e-09,1.130195411206089e-07
1.299999999999999e-09,1.130195411206691e-07
1.619999999999998e-09,1.130195411206366e-07
1.81875e-09,1.130195411206485e-07
1.830078125e-09,-4.101679858218851e-05
1.845410405836308e-09,-3.668790630954644e-05
1.852334681595851e-09,-9.252153801272173e-06
1.855796819475622e-09,9.680074274351322e-06
1.862721095235164e-09,5.355869745124018e-05
1.867739021075039e-09,6.937999770734648e-05
1.872438272705758e-09,9.198398032601294e-05
1.875317818015224e-09,0.0001569427097054021
1.876613283685939e-09,0.0002173949522242041
1.877801953702039e-09,0.0002813795084154498
1.879159227640486e-09,0.0003412219987325108
1.880396228980938e-09,0.0003872958089553809
1.881743056217833e-09,0.0004262149641551305
1.883187630272477e-09,0.0004489175098404647
1.884459019526868e-09,0.0004011327222245853
1.885373323813578e-09,0.0003049221832066455
1.886140245697679e-09,0.0002382775184456827
1.886780137916207e-09,0.0001957995865500272
1.887451625053159e-09,0.0001566598834544801
1.888602328751813e-09,0.0001016570114593832
1.890210537200251e-09,4.663440394465284e-05
1.892269778365695e-09,1.051530251479707e-05
1.894390045021366e-09,-5.942250718292915e-06
1.896774173183469e-09,-1.135044825155294e-05
1.899691217551284e-09,-1.463478322425135e-05
1.903677606526013e-09,-1.385058693990439e-05
1.909700752705865e-09,-1.507986693545709e-05
1.919724166403456e-09,-1.373729954990903e-05
1.939750428208907e-09,-1.483905724856569e-05
1.969875214104453e-09,-1.336631455668961e-05
2e-09,-1.437886243503131e-05
2.02e-09,-1.259470092188457e-05
2.026194390477663e-09,7.991223436513624e-07
2.03566757476135e-09,1.043373289328772e-06
2.044054965474145e-09,-2.68523723186026e-07
2.058107105052502e-09,1.289959264001727e-06
2.076605322944845e-09,-2.229590945275782e-07
2.103339810447271e-09,1.216610591666697e-06
2.146269707901346e-09,-1.622812529929846e-07
2.21194052350735e-09,1.175091199975059e-06
2.316982096027608e-09,-1.347484971110941e-07
2.486428155606453e-09,1.157706032478798e-06
2.758821892519267e-09,-1.238743299954519e-07
3e-09,1.148838250562185e-06
3.02e-09,5.29238852695619e-07
3.06e-09,5.148238132882671e-07
3.14e-09,5.148578709975293e-07
